school_name,type_of_school,adress,BIN,date_of_start_(MM_YY),longitude,latitude
Средняя школа №34 им. Барлыбека Сырттанулы,Школы,"Улица Тайбурыл, 23, Астана",11140002192.0,11.01,71.425762,51.198815
Средняя школа №41,Школы,"Улица Ардагерлер, 1а, Астана",990440002222.0,4.99,71.339284,51.178787
Средняя школа №44 им. Рахимжана Кошкарбаева,Школы,"Улица Нурлыжол, 8, Астана",104001783.0,10.0,71.596283,51.125843
Средняя школа №49 им. К. Кеменгерулы,Школы,"Переулок Сарыадыр, 3, Астана",4094003152.0,9.04,71.400964,51.207504
Средняя школа №55,Школы,"Улица Жаханша Досмухамедулы, 2, Астана",60640004976.0,6.06,71.471492,51.180842
Средняя школа №57,Школы,"Улица Шарбакты, 46, Астана",70640004561.0,6.07,71.519799,51.121679
Средняя школа №99,Школы,"Кабанбай батыр проспект, 38а, Астана",240640030061.0,6.24,71.414737,51.124004
Столичная школа им. Садвакасова Х.Ж.,Школы,"Улица Акын Сара, 23, Астана",200840016859.0,8.2,71.404142,51.145185
Столичный,Школы,"Переулок Ташенова, 8/4, Астана",,,71.43859,51.155497
Строящаяся школа,Школы,"Улица Ахмет Байтурсынулы, 55, Астана",,,71.52544,51.116667
Флагман,Частная школа,"Проспект Шакарим Кудайбердыулы, 22/1, Астана",,,71.486325,51.159607
Центральная,Экономическая школа,"Улица Ыкылас Дукенулы, 17, Астана",20940003664.0,9.02,71.424559,51.179923
Школа критического мышления,Школы,"Аль-Фараби проспект, 10, Астана",250140017622.0,1.25,71.453108,51.099307
Школа Мозаика-Казахстан,Коррекционная школа,"Улица Халел Досмухамедулы, 31, Астана",220540022727.0,5.22,71.422526,51.141364
Школа-гимназия № 10 им.Жумабека Ташенова,Гимназии,"Улица Малика Габдуллина, 7, Астана",720840000018.0,8.72,71.431345,51.159607
Школа-гимназия № 17 им. А. Курманова,Гимназии,"Кабанбай батыр проспект, 9/1, Астана",20840001842.0,8.02,71.414565,51.143185
Школа-гимназия №14,Школы,"Улица Маскеу, 23, Астана",740840000011.0,8.74,71.401737,51.181239
Школа-гимназия №2 им. Гафу Каирбекова,Гимназии,"Улица Сакена Сейфуллина, 19, Астана",660740000020.0,7.66,71.416198,51.170657
Школа-гимназия №22,Гимназии,"Улица Жанайдар Жирентаев, 16, Астана",920840000228.0,8.92,71.475443,51.153009
Школа-гимназия №26,Гимназии,"Улица Конституции, 24, Астана",751240000014.0,12.75,71.388937,51.198437
Школа-гимназия №3,Гимназии,"Проспект Республики, 35, Астана",401140000019.0,11.4,71.424559,51.170549
Школа-гимназия №30,Гимназии,"Улица Алексея Петрова, 11, Астана",780440000024.0,4.78,71.466738,51.149368
Школа-гимназия №31,Акимата г. Астаны,"Улица Кенесары, 49, Астана",760840000035.0,8.76,71.433235,51.167034
Школа-гимназия №32,Гимназии,"Проспект Абылай хана, 25/3, Астана",880840000012.0,8.88,71.484864,51.157912
Школа-гимназия №4 им. Жамбыла Жабаева,Гимназии,"Улица Шакена Айманова, 3, Астана",581040000010.0,10.58,71.429484,51.174173
Школа-гимназия №51 им. Мустафа Шокая,Гимназии,"Улица Аманат, 5, Астана",50840003369.0,8.05,71.481314,51.143022
Школа-гимназия №52 им. Бейимбета Майлина,Гимназии,"Улица Бурабай, 38, Астана",60540005366.0,5.06,71.517537,51.150125
Школа-гимназия №58 им. Ильяса Жансугурова,Гимназии,"Улица Акан Серы, 22, Астана",70640004581.0,6.07,71.377225,51.185836
Школа-гимназия №63 им. Шерхана Муртазы,Школы,"Улица Лепсы, 38, Астана",100140009780.0,1.1,71.525669,51.147403
Школа-гимназия №65 им. Магжана Жумабаева,Школы,"Улица Бердибек Сокпакбаев, 18/4, Астана",100940016415.0,9.1,71.385043,51.17228
Школа-гимназия №67 им. Ильяса Есенберлина,Гимназии,"Улица Шаймерден Косшыгулулы, 23/1, Астана",,,71.378829,51.169774
Школа-гимназия №68 им. М. Дулатова,Гимназии,"Улица Кусмурын, 2, Астана",111040007011.0,10.11,71.336363,51.197355
Школа-гимназия №7 им. Гали Орманова,Гимназии,"Проспект Богенбай батыра, 57, Астана",900840000036.0,8.9,71.427394,51.178589
Школа-гимназия №74 им. М. Макатаева,Школы,"Улица Темирбек Жургенов, 29, Астана",14094006099.0,9.14,71.502962,51.125176
Школа-гимназия №75,Школы,"Проспект Мангилик Ел, 28/1, Астана",140940007215.0,9.14,71.434982,51.110556
Школа-гимназия №77 им. Фаризы Онгарсыновой,Гимназии,"Проспект Мангилик Ел, 22/1, Астана",150640000136.0,6.15,71.437273,51.115892
Школа-гимназия №78 им. Смагула Садуакасулы,Школы,"Улица Азильхан Нуршаихов, 8, Астана",140940006693.0,9.14,71.364855,51.129412
Школа-гимназия №80 им. С. Сейфуллина,Гимназии,"Улица Шаймерден Косшыгулулы, 17/2, Астана",160140003089.0,1.16,71.384212,51.167737
Школа-гимназия №83 им. Ыбырая Алтынсарина,Школы,"Улица Ахмет Байтурсынулы, 35, Астана",160140000585.0,1.16,71.495287,51.121498
Школа-гимназия №86,Гимназии,"Улица Аманжол Болекпаев, 20, Астана",190440023832.0,4.19,71.507028,51.120561
Школа-гимназия №97,Гимназии,"Проспект Туран, 42/1, Астана",240240031937.0,2.24,71.403942,51.114504
Школа-лицей № 35 им. Назира Торекулова,Лицеи,"Проспект Абая, 9/1, Астана",910840000117.0,8.91,71.404686,51.167358
Школа-лицей №1 им. Талгата Бигельдинова,Лицеи,"Улица Желтоксан, 9, Астана",920740000264.0,7.92,71.416255,51.163122
Школа-лицей №11 им. Ө. Жәнібеков,Лицеи,"Проспект Абая, 6, Астана",210940003238.0,9.21,71.402539,51.164528
Школа-лицей №15,Лицеи,"Проспект Сарыарка, 20, Астана",630340000010.0,3.63,71.40964,51.1657
Школа-лицей №27 им. Касыма Кайсенова,Лицеи,"Таха Хусейна улица, 5/1, Астана",840940000016.0,9.84,71.441969,51.15501
Школа-лицей №28,Школы,"Улица Алексея Петрова, 8, Астана",690840000010.0,8.69,71.461813,51.14944
Школа-лицей №38 им. Алимхана Ермекова,Лицеи,"Улица Габит Мусрепов, 8/2, Астана",990840001546.0,8.99,71.503706,51.151891
Школа-лицей №40 им. Ә.Марғұлан,Лицеи,"Улица Дулата Бабатайулы, 26, Астана",990440002173.0,4.99,71.345985,51.18625
Школа-лицей №48 им. Ахмета Байтурсынова,Лицеи,"Улица Жанайдар Жирентаев, 15/2, Астана",30940002484.0,9.03,71.471205,51.15328
Школа-лицей №50 им. Райымбека Батыра,Лицеи,"Улица Куйши Дина, 6, Астана",50940003749.0,9.05,71.466337,51.145348
Школа-лицей №53 имени Б.Момышұлы,Лицеи,"Улица Каркабат, 17, Астана",60640004926.0,6.06,71.476217,51.137506
Школа-лицей №54 им. Ақселеу Сейдімбека,Лицеи,"Улица Шолпан Иманбаевой, 4, Астана",60740004048.0,7.06,71.437846,51.161193
Школа-лицей №56 им. Шакарима,Лицеи,"Улица Тарас Шевченко, 3, Астана",60740003941.0,7.06,71.407034,51.161283
Школа-лицей №59 им. Карима Мынбаева,Лицеи,"Улица Сауран, 5/1, Астана",70940018522.0,9.07,71.417457,51.121444
Школа-лицей №60 акимата г. Астаны,Лицеи,"Улица Степана Кубрина, 21/1, Астана",80940014056.0,9.08,71.401823,51.17082
Школа-лицей №61 им. Каныша Сатпаева,Школы,"Улица Конституции, 33, Астана",80940013098.0,9.08,71.381177,51.198707
Школа-лицей №64 им. Султанбека Кожанова,Лицеи,"Улица Габит Мусрепов, 15, Астана",100940015239.0,9.1,71.503677,51.157245
Школа-лицей №66 им. Д.Конаева,Лицеи,"Улица Динмухамед Конаев, 33/1, Астана",110140014570.0,1.11,71.436099,51.131593
Школа-лицей №70,Лицеи,"Улица Майкайын, 1, Астана",120940001490.0,9.12,71.464104,51.133847
Школа-лицей №71,Лицеи,"Улица Илияс Омаров, 4, Астана",130940009200.0,9.13,71.369551,51.134568
Школа-лицей №72,Лицеи,"Улица Ахмет Байтурсынулы, 25, Астана",140240026256.0,2.14,71.48286,51.123193
Школа-лицей №73,Лицеи,"Улица А-191, 2, Астана",140940005952.0,9.14,71.475787,51.114107
Школа-лицей №76 им. Әлихан Бөкейхан,Лицеи,"Улица Туркестан, 10/1, Астана",140940007087.0,9.14,71.428597,51.111818
Школа-лицей №79,Лицеи,"Улица Максут Нарикбаев, 3, Астана",150640000080.0,6.15,71.385444,51.142518
Школа-лицей №84,Школа-лицей им. шейха Халифа бен Заида аль-Нахаяна,"Проспект Улы Дала, 41/1, Астана",160940007764.0,9.16,71.414651,51.09974
Школа-лицей №85,Лицеи,"Кабанбай батыр проспект, 56/1, Астана",180940023531.0,9.18,71.409898,51.100533
Школа-лицей №88 им. Қадыр Мырза Әлі,Школы,"Улица Е-321, 18, Астана",191140021828.0,11.19,71.437187,51.073349
Школа-лицей №89 им. Дулата Бабатайұлы,Школы,"Улица Сауран, 11, Астана",200840020582.0,8.2,71.415424,51.113422
Школа-лицей №92,Школы,"Улица А351, 3, Астана",210940038944.0,9.21,71.461956,51.131611
Школа-лицей №93,Лицеи,"Улица Жумекен Нажимеденов, 24, Астана",220540004818.0,5.22,71.489818,51.115712
Школа-лицей №94 им. Тұрсынбека Кәкішұлы,Школы,"Улица 201-я, 55, Астана",220640047677.0,6.22,71.290118,51.136515
Школа-лицей №98,Лицеи,"Улица Жумекен Нажимеденов, 8, Астана",240740005292.0,7.24,71.461269,51.11984
Школа-центр дополнительного образования №43,Школы,"Улица Бастау, 2, Астана",1040001822.0,10.0,71.646795,51.118163
